N,SUNSPOT_COUNTS,SUNSPOT_COUNTS
11,80.9,80.9
12,82.2,82.2
13,83.3,83.3
14,84.9,84.9
15,87.6,87.6
16,88.0,88.0
17,89.4,89.4
18,88.6,88.6
19,91.7,91.7
20,93.0,93.0
21,92.2,92.2
22,84.2,84.2
23,83.4,83.4
24,83.1,83.1
25,80.4,80.4
26,76.8,76.8
27,74.1,74.1
28,71.7,71.7
29,67.6,67.6
30,66.0,66.0
31,62.4,62.4
32,56.7,56.7
33,53.2,53.2
34,50.3,50.3
35,47.7,47.7
36,44.7,44.7
37,45.3,45.3
38,47.4,47.4
39,47.7,47.7
40,47.6,47.6
41,46.7,46.7
42,47.7,47.7
43,45.1,45.1
44,45.4,45.4
45,47.4,47.4
46,48.1,48.1
47,47.8,47.8
48,48.6,48.6
49,47.1,47.1
50,44.9,44.9
51,43.2,43.2
52,41.2,41.2
53,40.5,40.5
54,35.9,35.9
55,36.7,36.7
56,36.7,36.7
57,34.9,34.9
58,33.5,33.5
59,30.7,30.7
60,27.0,27.0
61,24.6,24.6
62,20.9,20.9
63,18.9,18.9
64,17.6,17.6
65,17.2,17.2
66,16.9,16.9
67,14.7,14.7
68,13.1,13.1
69,13.0,13.0
70,12.4,12.4
71,12.2,12.2
72,13.1,13.1
73,13.8,13.8
74,14.2,14.2
75,13.6,13.6
76,11.9,11.9
77,9.6,9.6
78,8.8,8.8
79,8.0,8.0
80,8.8,8.8
81,8.8,8.8
82,8.3,8.3
83,9.6,9.6
84,9.8,9.8
85,9.4,9.4
86,9.3,9.3
87,9.5,9.5
88,10.6,10.6
89,11.7,11.7
90,11.2,11.2
91,11.5,11.5
92,11.0,11.0
93,10.2,10.2
94,11.1,11.1
95,10.2,10.2
96,10.3,10.3
97,11.5,11.5
98,13.2,13.2
99,15.0,15.0
100,17.1,17.1
101,17.1,17.1
102,18.9,18.9
103,22.6,22.6
104,24.9,24.9
105,26.4,26.4
106,30.4,30.4
107,32.4,32.4
108,34.4,34.4
109,37.0,37.0
110,38.9,38.9
111,42.4,42.4
112,43.1,43.1
113,45.8,45.8
114,47.3,47.3
115,46.3,46.3
116,48.2,48.2
117,48.6,48.6
118,46.8,46.8
119,47.6,47.6
120,48.5,48.5
121,47.8,47.8
122,47.6,47.6
123,45.5,45.5
124,45.8,45.8
125,46.2,46.2
126,46.8,46.8
127,49.5,49.5
128,50.7,50.7
129,52.5,52.5
130,52.8,52.8
131,54.0,54.0
132,55.6,55.6
133,56.8,56.8
134,59.2,59.2
135,60.1,60.1
136,62.0,62.0
137,61.9,61.9
138,63.1,63.1
139,63.5,63.5
140,62.2,62.2
141,61.4,61.4
142,62.5,62.5
143,62.9,62.9
144,63.1,63.1
145,65.7,65.7
146,66.2,66.2
147,67.3,67.3
148,70.3,70.3
149,74.5,74.5
150,76.9,76.9
151,78.1,78.1
152,81.4,81.4
153,84.6,84.6
154,87.1,87.1
155,85.9,85.9
156,83.7,83.7
157,82.2,82.2
158,79.2,79.2
159,78.3,78.3
160,72.7,72.7
161,70.8,70.8
162,65.8,65.8
163,63.8,63.8
164,61.2,61.2
165,59.5,59.5
166,58.6,58.6
167,61.2,61.2
168,62.2,62.2
169,58.8,58.8
170,57.8,57.8
171,55.6,55.6
172,55.0,55.0
173,51.5,51.5
174,53.2,53.2
175,49.8,49.8
176,49.8,49.8
177,47.8,47.8
178,46.4,46.4
179,45.1,45.1
180,45.4,45.4
181,47.7,47.7
182,48.2,48.2
183,48.3,48.3
184,49.3,49.3
185,48.8,48.8
186,46.8,46.8
187,47.1,47.1
188,43.8,43.8
189,42.2,42.2
190,39.3,39.3
191,36.4,36.4
192,33.4,33.4
193,30.6,30.6
194,29.3,29.3
195,28.3,28.3
196,26.3,26.3
197,25.4,25.4
198,25.2,25.2
199,25.2,25.2
200,24.1,24.1
201,23.0,23.0
202,22.0,22.0
203,20.9,20.9
204,19.9,19.9
205,18.7,18.7
206,19.6,19.6
207,18.3,18.3
208,18.8,18.8
209,17.4,17.4
210,15.5,15.5
211,13.3,13.3
212,12.3,12.3
213,11.6,11.6
214,10.9,10.9
215,11.4,11.4
216,12.7,12.7
217,14.3,14.3
218,14.8,14.8
219,17.1,17.1
220,17.3,17.3
221,19.8,19.8
222,21.4,21.4
223,24.4,24.4
224,27.6,27.6
225,30.9,30.9
226,35.0,35.0
227,37.8,37.8
228,40.0,40.0
229,43.0,43.0
230,43.3,43.3
231,44.1,44.1
232,48.1,48.1
233,51.8,51.8
234,54.3,54.3
235,56.5,56.5
236,59.2,59.2
237,62.0,62.0
238,65.0,65.0
239,69.8,69.8
240,71.5,71.5
241,71.4,71.4
242,72.9,72.9
243,77.4,77.4
244,77.0,77.0
245,78.5,78.5
246,84.0,84.0
247,88.4,88.4
248,94.6,94.6
249,101.3,101.3
250,106.1,106.1
251,106.1,106.1
252,108.6,108.6
253,115.1,115.1
254,116.4,116.4
255,112.6,112.6
256,112.3,112.3
257,111.4,111.4
258,110.7,110.7
259,111.2,111.2
260,107.5,107.5
261,102.9,102.9
262,101.6,101.6
263,100.8,100.8
264,95.1,95.1
265,87.1,87.1
266,84.3,84.3
267,85.5,85.5
268,92.4,92.4
269,95.4,95.4
270,91.9,91.9
271,86.2,86.2
272,86.0,86.0
273,84.8,84.8
274,82.1,82.1
275,81.6,81.6
276,87.0,87.0
277,90.7,90.7
278,89.4,89.4
279,91.7,91.7
280,82.1,82.1
281,76.9,76.9
282,77.7,77.7
283,77.5,77.5
284,73.3,73.3
285,72.3,72.3
286,69.1,69.1
287,66.5,66.5
288,62.6,62.6
289,57.5,57.5
290,59.2,59.2
291,54.2,54.2
292,54.5,54.5
293,52.1,52.1
294,48.0,48.0
295,44.3,44.3
296,42.6,42.6
297,38.2,38.2
298,36.5,36.5
299,34.8,34.8
300,34.1,34.1
301,37.2,37.2
302,37.5,37.5
303,38.4,38.4
304,39.3,39.3
305,39.3,39.3
306,38.5,38.5
307,37.9,37.9
308,36.2,36.2
309,35.1,35.1
310,33.2,33.2
311,30.6,30.6
312,27.1,27.1
313,21.6,21.6
314,18.0,18.0
315,15.2,15.2
316,11.3,11.3
317,9.9,9.9
318,8.6,8.6
319,8.7,8.7
320,8.3,8.3
321,7.6,7.6
322,7.4,7.4
323,7.0,7.0
324,8.5,8.5
325,9.4,9.4
326,9.0,9.0
327,9.9,9.9
328,10.5,10.5
329,11.0,11.0
330,11.0,11.0
331,12.4,12.4
332,13.5,13.5
333,15.5,15.5
334,17.1,17.1
335,19.8,19.8
336,21.8,21.8
337,23.8,23.8
338,26.6,26.6
339,32.7,32.7
340,38.5,38.5
341,43.6,43.6
342,51.4,51.4
343,58.8,58.8
344,67.1,67.1
345,73.5,73.5
346,82.7,82.7
347,92.5,92.5
348,103.5,103.5
349,109.6,109.6
350,117.5,117.5
351,121.6,121.6
352,134.9,134.9
353,142.4,142.4
354,147.3,147.3
355,149.6,149.6
356,154.2,154.2
357,158.4,158.4
358,158.7,158.7
359,154.4,154.4
360,149.2,149.2
361,153.9,153.9
362,152.5,152.5
363,152.5,152.5
364,144.3,144.3
365,139.5,139.5
366,138.6,138.6
367,136.3,136.3
368,131.2,131.2
369,128.5,128.5
370,125.5,125.5
371,125.9,125.9
372,122.2,122.2
373,116.6,116.6
374,114.9,114.9
375,110.7,110.7
376,108.0,108.0
377,105.9,105.9
378,101.1,101.1
379,98.9,98.9
380,97.5,97.5
381,93.6,93.6
382,89.1,89.1
383,84.8,84.8
384,87.2,87.2
385,85.3,85.3
386,81.5,81.5
387,79.3,79.3
388,79.1,79.1
389,79.9,79.9
390,78.8,78.8
391,77.2,77.2
392,73.6,73.6
393,69.5,69.5
394,70.1,70.1
395,68.1,68.1
396,64.4,64.4
397,61.3,61.3
398,59.9,59.9
399,57.7,57.7
400,53.5,53.5
401,48.5,48.5
402,45.4,45.4
403,43.6,43.6
404,42.2,42.2
405,41.9,41.9
406,38.9,38.9
407,38.5,38.5
408,36.3,36.3
409,36.4,36.4
410,35.5,35.5
411,34.5,34.5
412,31.9,31.9
413,30.8,30.8
414,30.4,30.4
415,28.4,28.4
416,27.1,27.1
417,25.8,25.8
418,24.4,24.4
419,22.8,22.8
420,21.6,21.6
421,19.0,19.0
422,17.7,17.7
423,16.2,16.2
424,14.7,14.7
425,13.4,13.4
426,11.2,11.2
427,10.4,10.4
428,9.7,9.7
429,9.7,9.7
430,9.9,9.9
431,10.2,10.2
432,9.6,9.6
433,9.6,9.6
434,9.5,9.5
435,9.9,9.9
436,11.2,11.2
437,12.6,12.6
438,15.1,15.1
439,16.0,16.0
440,17.8,17.8
441,21.1,21.1
442,23.0,23.0
443,24.1,24.1
444,26.7,26.7
445,30.0,30.0
446,33.2,33.2
447,39.0,39.0
448,45.0,45.0
449,47.7,47.7
450,51.6,51.6
451,57.4,57.4
452,64.0,64.0
453,69.4,69.4
454,75.8,75.8
455,82.9,82.9
456,91.0,91.0
457,95.9,95.9
458,99.2,99.2
459,102.7,102.7
460,106.2,106.2
461,109.5,109.5
462,113.3,113.3
463,117.3,117.3
464,121.1,121.1
465,124.8,124.8
466,126.9,126.9
467,132.0,132.0
468,132.3,132.3
469,134.2,134.2
470,138.9,138.9
471,137.3,137.3
472,135.5,135.5
473,140.1,140.1
474,141.2,141.2
475,141.1,141.1
476,139.8,139.8
477,138.5,138.5
478,134.6,134.6
479,130.9,130.9
480,128.9,128.9
481,128.6,128.6
482,126.6,126.6
483,127.9,127.9
484,128.8,128.8
485,125.9,125.9
486,123.9,123.9
487,121.1,121.1
488,118.7,118.7
489,114.3,114.3
490,117.6,117.6
491,118.1,118.1
492,117.2,117.2
493,117.4,117.4
494,115.4,115.4
495,113.0,113.0
496,110.4,110.4
497,108.0,108.0
498,104.0,104.0
499,102.7,102.7
500,99.8,99.8
501,99.4,99.4
502,95.0,95.0
503,89.9,89.9
504,87.4,87.4
505,81.9,81.9
506,80.1,80.1
507,78.7,78.7
508,77.0,77.0
509,74.8,74.8
510,75.0,75.0
511,71.3,71.3
512,70.4,70.4
513,68.5,68.5
514,67.3,67.3
515,66.6,66.6
516,65.4,65.4
517,65.5,65.5
518,64.6,64.6
519,64.5,64.5
520,63.5,63.5
521,63.2,63.2
522,61.1,61.1
523,62.6,62.6
524,61.9,61.9
525,61.7,61.7
526,60.9,60.9
527,60.0,60.0
528,59.9,59.9
529,59.1,59.1
530,58.5,58.5
531,56.6,56.6
532,55.8,55.8
533,55.0,55.0
534,55.3,55.3
535,52.8,52.8
536,49.8,49.8
537,48.8,48.8
538,47.8,47.8
539,46.9,46.9
540,46.0,46.0
541,45.1,45.1
542,43.6,43.6
543,41.6,41.6
544,41.8,41.8
545,41.1,41.1
546,40.3,40.3
547,41.2,41.2
548,40.1,40.1
549,38.6,38.6
550,40.5,40.5
551,41.0,41.0
552,39.0,39.0
553,38.7,38.7
554,36.6,36.6
555,35.8,35.8
556,33.7,33.7
557,31.7,31.7
558,29.3,29.3
559,28.1,28.1
560,28.3,28.3
561,27.6,27.6
562,24.1,24.1
563,21.3,21.3
564,21.3,21.3
565,20.0,20.0
566,20.2,20.2
567,21.3,21.3
568,20.5,20.5
569,19.6,19.6
570,20.8,20.8
571,18.8,18.8
572,19.2,19.2
573,18.5,18.5
574,17.1,17.1
575,16.0,16.0
576,15.4,15.4
577,13.8,13.8
578,12.8,12.8
579,10.5,10.5
580,9.3,9.3
581,9.7,9.7
582,7.8,7.8
583,8.2,8.2
584,7.1,7.1
585,6.8,6.8
586,6.6,6.6
587,6.4,6.4
588,5.4,5.4
589,5.3,5.3
590,6.0,6.0
591,5.8,5.8
592,5.2,5.2
593,4.3,4.3
594,3.9,3.9
595,3.7,3.7
596,3.4,3.4
597,2.9,2.9
598,3.5,3.5
599,4.1,4.1
600,4.0,4.0
601,4.8,4.8
602,5.5,5.5
603,6.1,6.1
604,6.8,6.8
605,7.7,7.7
606,7.9,7.9
607,7.6,7.6
608,7.4,7.4
609,7.7,7.7
610,6.9,6.9
611,6.8,6.8
612,7.2,7.2
613,6.9,6.9
614,6.3,6.3
615,5.6,5.6
616,5.3,5.3
617,6.4,6.4
618,8.0,8.0
619,9.6,9.6
620,10.6,10.6
621,11.2,11.2
622,11.9,11.9
623,14.5,14.5
624,16.2,16.2
625,17.8,17.8
626,19.1,19.1
627,21.7,21.7
628,24.0,24.0
629,24.6,24.6
630,25.8,25.8
631,27.4,27.4
632,29.2,29.2
633,30.9,30.9
634,33.3,33.3
635,34.0,34.0
636,35.7,35.7
637,37.2,37.2
638,38.1,38.1
639,39.1,39.1
640,40.1,40.1
641,41.3,41.3
642,42.4,42.4
643,43.3,43.3
644,44.8,44.8
645,45.3,45.3
646,44.9,44.9
647,45.0,45.0
648,45.2,45.2
649,45.5,45.5
650,44.6,44.6
651,43.2,43.2
652,43.2,43.2
653,42.4,42.4
654,42.4,42.4
655,41.1,41.1
656,40.5,40.5
657,41.8,41.8
658,43.2,43.2
659,43.1,43.1
660,42.7,42.7
661,42.5,42.5
662,44.0,44.0
663,46.1,46.1
664,45.2,45.2
665,45.1,45.1
666,43.6,43.6
667,44.3,44.3
668,45.0,45.0
669,45.6,45.6
670,46.5,46.5
671,47.5,47.5
672,48.8,48.8
673,48.4,48.4
674,48.7,48.7
675,47.6,47.6
676,48.1,48.1
677,48.6,48.6
678,49.2,49.2
679,49.2,49.2
680,48.5,48.5
681,45.7,45.7
682,44.1,44.1
683,42.2,42.2
684,40.4,40.4
685,39.2,39.2
686,37.6,37.6
687,36.8,36.8
688,35.8,35.8
689,34.5,34.5
690,33.9,33.9
691,32.5,32.5
692,30.8,30.8
693,30.6,30.6
694,29.3,29.3
695,28.1,28.1
696,25.9,25.9
697,24.4,24.4
698,22.5,22.5
699,22.2,22.2
700,20.8,20.8
701,19.7,19.7
702,18.2,18.2
703,17.0,17.0
704,15.5,15.5
705,13.9,13.9
706,12.1,12.1
707,10.1,10.1
708,9.1,9.1
709,8.4,8.4
710,7.6,7.6
711,6.7,6.7
712,6.9,6.9
713,7.1,7.1
714,6.6,6.6
715,6.2,6.2
716,6.7,6.7
717,6.5,6.5
718,7.1,7.1
719,8.1,8.1
720,8.7,8.7
721,9.1,9.1
722,9.2,9.2
723,8.4,8.4
724,7.4,7.4
725,7.0,7.0
726,6.4,6.4
727,5.8,5.8
728,4.8,4.8
729,4.4,4.4
730,3.6,3.6
731,2.5,2.5
732,1.9,1.9
733,1.2,1.2
734,1.1,1.1
735,0.9,0.9
736,0.7,0.7
737,0.1,0.1
738,0.1,0.1
739,0.0,0.0
740,0.0,0.0
741,0.0,0.0
742,0.0,0.0
743,0.0,0.0
744,0.0,0.0
745,0.0,0.0
746,0.0,0.0
747,0.0,0.0
748,0.0,0.0
749,0.0,0.0
750,0.6,0.6
751,0.6,0.6
752,0.8,0.8
753,1.3,1.3
754,1.3,1.3
755,1.4,1.4
756,2.4,2.4
757,2.5,2.5
758,2.6,2.6
759,2.6,2.6
760,2.7,2.7
761,2.8,2.8
762,2.3,2.3
763,3.6,3.6
764,3.8,3.8
765,3.6,3.6
766,4.2,4.2
767,5.0,5.0
768,4.0,4.0
769,4.7,4.7
770,4.8,4.8
771,6.2,6.2
772,6.6,6.6
773,7.4,7.4
774,8.9,8.9
775,8.3,8.3
776,9.1,9.1
777,11.1,11.1
778,11.8,11.8
779,12.2,12.2
780,14.0,14.0
781,14.2,14.2
782,14.5,14.5
783,15.1,15.1
784,15.1,15.1
785,15.4,15.4
786,15.5,15.5
787,14.9,14.9
788,14.3,14.3
789,13.6,13.6
790,13.5,13.5
791,13.9,13.9
792,13.7,13.7
793,15.4,15.4
794,17.1,17.1
795,17.7,17.7
796,18.1,18.1
797,21.5,21.5
798,22.9,22.9
799,26.6,26.6
800,28.6,28.6
801,29.8,29.8
802,31.7,31.7
803,35.4,35.4
804,36.0,36.0
805,39.0,39.0
806,43.0,43.0
807,45.3,45.3
808,48.1,48.1
809,47.1,47.1
810,47.4,47.4
811,45.4,45.4
812,46.8,46.8
813,48.7,48.7
814,48.7,48.7
815,45.8,45.8
816,46.7,46.7
817,45.7,45.7
818,47.6,47.6
819,44.9,44.9
820,43.0,43.0
821,42.7,42.7
822,43.6,43.6
823,45.4,45.4
824,44.5,44.5
825,42.0,42.0
826,41.2,41.2
827,41.1,41.1
828,40.9,40.9
829,38.0,38.0
830,32.1,32.1
831,32.8,32.8
832,35.4,35.4
833,35.1,35.1
834,33.3,33.3
835,32.2,32.2
836,31.3,31.3
837,31.8,31.8
838,30.3,30.3
839,30.1,30.1
840,29.9,29.9
841,29.7,29.7
842,27.9,27.9
843,26.7,26.7
844,23.9,23.9
845,23.8,23.8
846,24.1,24.1
847,23.6,23.6
848,22.7,22.7
849,22.4,22.4
850,23.5,23.5
851,23.9,23.9
852,22.8,22.8
853,23.3,23.3
854,23.4,23.4
855,23.3,23.3
856,24.1,24.1
857,22.1,22.1
858,21.2,21.2
859,21.2,21.2
860,20.4,20.4
861,18.9,18.9
862,17.4,17.4
863,15.7,15.7
864,15.9,15.9
865,14.0,14.0
866,14.1,14.1
867,13.3,13.3
868,11.0,11.0
869,10.2,10.2
870,8.7,8.7
871,6.9,6.9
872,6.9,6.9
873,7.7,7.7
874,7.4,7.4
875,6.6,6.6
876,4.8,4.8
877,4.5,4.5
878,5.4,5.4
879,5.7,5.7
880,5.7,5.7
881,6.0,6.0
882,6.5,6.5
883,6.3,6.3
884,5.9,5.9
885,4.4,4.4
886,4.0,4.0
887,4.0,4.0
888,4.0,4.0
889,3.9,3.9
890,2.6,2.6
891,1.5,1.5
892,1.4,1.4
893,0.9,0.9
894,0.3,0.3
895,0.1,0.1
896,0.1,0.1
897,0.1,0.1
898,0.1,0.1
899,1.8,1.8
900,3.6,3.6
901,4.5,4.5
902,4.4,4.4
903,6.1,6.1
904,6.3,6.3
905,6.3,6.3
906,6.3,6.3
907,6.4,6.4
908,8.1,8.1
909,10.2,10.2
910,10.2,10.2
911,8.5,8.5
912,7.2,7.2
913,7.6,7.6
914,9.4,9.4
915,8.1,8.1
916,9.2,9.2
917,10.5,10.5
918,13.0,13.0
919,15.0,15.0
920,14.6,14.6
921,13.8,13.8
922,14.8,14.8
923,16.6,16.6
924,17.6,17.6
925,17.9,17.9
926,19.0,19.0
927,20.7,20.7
928,22.1,22.1
929,24.0,24.0
930,25.8,25.8
931,26.9,26.9
932,27.2,27.2
933,30.1,30.1
934,32.4,32.4
935,36.3,36.3
936,37.7,37.7
937,40.1,40.1
938,41.9,41.9
939,43.7,43.7
940,45.7,45.7
941,47.3,47.3
942,46.5,46.5
943,47.7,47.7
944,50.3,50.3
945,50.8,50.8
946,51.5,51.5
947,49.7,49.7
948,51.2,51.2
949,52.6,52.6
950,53.2,53.2
951,54.5,54.5
952,57.2,57.2
953,60.7,60.7
954,61.6,61.6
955,63.5,63.5
956,63.6,63.6
957,63.4,63.4
958,64.1,64.1
959,64.2,64.2
960,63.3,63.3
961,62.1,62.1
962,62.7,62.7
963,65.5,65.5
964,63.7,63.7
965,61.7,61.7
966,64.8,64.8
967,64.9,64.9
968,65.1,65.1
969,65.3,65.3
970,66.2,66.2
971,67.0,67.0
972,67.8,67.8
973,69.7,69.7
974,70.7,70.7
975,71.7,71.7
976,71.6,71.6
977,70.9,70.9
978,67.0,67.0
979,64.7,64.7
980,65.5,65.5
981,67.7,67.7
982,68.9,68.9
983,71.0,71.0
984,70.6,70.6
985,68.8,68.8
986,69.5,69.5
987,65.1,65.1
988,62.8,62.8
989,60.1,60.1
990,60.2,60.2
991,60.6,60.6
992,58.6,58.6
993,55.4,55.4
994,52.2,52.2
995,47.8,47.8
996,46.4,46.4
997,46.9,46.9
998,43.7,43.7
999,41.4,41.4
1000,41.6,41.6
1001,41.1,41.1
1002,38.5,38.5
1003,34.6,34.6
1004,32.2,32.2
